AREA_ACRES,AREA_SQKM,STATES,HUC_10,HU_10_NAME,HU_10_MOD,HU_10_TYPE,VERTICES,Shape_Length,Shape_Area
84869.492,343.1017334,CO,1019001205,City of Raymer,NM,S,81,0.979044311,0.036465881
87762.838,354.0012221,"CO,NE",1019001213,Sedgwick Draw-South Platte River,TF,M,56,0.997823291,0.037871464
168225.749,681.347901,"CO,WY",1019001503,Muddy Creek,NM,S,96,1.967221565,0.073031987
229184.727,926.2582948,"CO,WY",1019000903,Little Crow Creek,NM,S,108,1.890698385,0.0990118
164628.257,667.3574455,CO,1019001002,Comanche Creek,NM,S,135,2.04249103,0.069970692
126585.92,515.1871007,CO,1019001202,Sand Arroyo Creek-South Platte River,NM,M,118,1.709842945,0.05442306
162021.788,656.9716516,NE,1019001704,Sand Draw,NM,S,144,2.101581153,0.07043538
115796.605,468.609166,CO,1019000104,Headwates Tarryall Creek,NM,S,76,1.101586739,0.048967272
167565.932,678.9003318,CO,1019000105,Ruby Gulch-Tarryall Creek,NM,S,116,1.597891281,0.070798044
174463.184,707.0266296,CO,1408010702,Middle Mancos River,NM,S,84,1.223486589,0.071716753
321482.4,1301.505322,"CO,WY",1404010902,Shell Creek,NM,S,200,2.917179652,0.13937042
92315.558,373.000207,CO,1404010903,Douglas Draw,NM,S,106,1.354323515,0.039747975
136472.067,552.4687989,CO,1405000204,Deception Creek-Yampa River,NM,S,88,1.274719283,0.058606969
229351.638,928.3356223,CO,1405000309,Greasewood Gulch-Little Snake River,NM,S,123,1.609948414,0.099022219
174078.862,705.1966215,CO,1405000310,Sand Wash,NM,S,101,1.268687889,0.075199459
176050.634,711.2969361,"CO,NM",1408010410,City of Farmington-Animas River,"GC,UA",S,100,1.495406051,0.071915505
72618.713,293.1333277,"CO,NM",1408010503,Barker Arroyo-La Plata River,GC,S,70,1.133254189,0.029637448
80078.052,322.410768,"CO,NM",1408010506,Salt Creek,GC,S,62,1.10859049,0.032607158
163306.437,661.0823448,CO,1301000403,Middle Creek-Saguache Creek,NM,S,102,1.508048818,0.067980667
101197.259,408.2615368,CO,1301000404,Carnero Creek,NM,S,79,1.587540379,0.041830497
